"sitecode","countrycode","perclogged","site_ha","area_ha_2001","area_ha_2002","area_ha_2003","area_ha_2004","area_ha_2005","area_ha_2006","area_ha_2007","area_ha_2008","area_ha_2009","area_ha_2010","area_ha_2011","area_ha_2012","area_ha_2013","area_ha_2014","area_ha_2015","area_ha_2016","area_ha_2017","area_ha_2018","area_ha_2019","area_ha_2020","area_ha_2021","area_ha_2022","area_ha_2023","most_disturbed_year","most_disturbed_year_ha","sitename"
"EE0040202","EE",0.0140805524211393,22629,7.88527505524457,3.94072967256478,0,2.05377468198538,1.53470095954835,13.3031543184165,5.33644485027529,82.1534933865457,103.037304607674,6.29602680060372,1.4221849964076,4.18518615963869,5.54440922466922,1.20798726829846,0.414569115936756,1.13874500949634,3.20819939708454,4.15587236409774,0.726480457079597,6.23628895604401,8.30128811135124,27.5429502946482,29.0037550503496,2009,103.037304607674,"Suursoo-Leidissoo"
"EE0070103","EE",0.0232698440873796,16443.4,10.6966994836173,9.92051488539961,4.95,14.7349585017026,7.38446909048944,10.5568889687257,0.918992030745503,4.67947796046632,2.17678386742249,6.17636874139309,2.50145033897599,2.66323240870476,1.07022427348875,0.86417413674666,1.38280887052417,5.81114807815429,12.2807386158102,42.0921988451263,16.6597392369275,1.13807102110237,0.38337169010716,6.66702779259439,216.926015428193,2023,216.926015428193,"Muraka"
"EE0080401","EE",0.0531157533532797,22565.5,15.48,24.476185759306,1.98,8.64,11.16,14.8057668627899,3.23925741274841,5.77071217980549,7.86559257558547,24.5636823222041,23.13,15.2835771681368,16.1113686543144,19.6707899220334,24.1215588053316,45.9543130536939,99.7403741414766,176.106733111956,147.523511825725,148.958778722962,130.051101131793,121.709612650727,112.240615992844,2018,176.106733111956,"Otepää"
"EE0080515","EE",0.000600100354846681,61.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00954299189150333,0,0,0,0,0,0.0276032200735062,2023,0.0276032200735062,"Kariste järve"
"EE0080613","EE",0.0820298686460678,17039.6,13.9734471662482,13.4839154818654,3.99070422031917,1.89,20.5369729341567,11.0794957655668,5.84185223892331,5.52745426920177,14.2361601537466,13.4129014695436,16.4478301272914,10.35,14.7844895590469,20.205489062299,67.5586202815804,160.744335263316,125.970768179095,143.457580316886,160.355060427301,88.4477389473142,168.010849469067,183.427889176109,134.02259527266,2022,183.427889176109,"Haanja"
"EE0080614","EE",0.0881515993852393,362.6,1.71,0.18,2.21449928498128,1.62,0,0.0721852518618107,0,0,0,1.00723371393979,3.01981632453273,0,0.18383289847523,0,0.00091288573108613,0,0,0.072407468855381,17.169183051812,3.95032693505287,0.026523417038843,0.0731429681181908,0.663705736688571,2019,17.169183051812,"Sadramõtsa"
"EE0080617","EE",0.036511836086226,1026.7,0,1.01389725588262,0.06741409689188,0,0.589592483513989,0.0540424346923828,0.0382893470674753,0.0382970336079597,1.49973926156759,0.283180626975372,0,0.668677813410759,0.453593687698158,0.0755601507425308,11.2748091799082,2.83927695471095,11.3931444392237,0.72,0.0875693714618683,2.77977195261104,0.539150914549828,3.07069510521193,0,2017,11.3931444392237,"Parmu"
"EE0080622","EE",0.0402262277767586,1225.9,0.81,2.31792200267315,0.54,0,0.145456994175911,0.684868654310703,0,0.27,0.204786165209807,1.86484392140061,0.1661909070611,0.9,0.281646077614278,0.9,0.288192373663187,4.22261707744815,3.09174151713029,0.389713897985348,3.24324928231537,13.4580906522833,5.9233664470911,8.61417045593262,0.996476205233484,2020,13.4580906522833,"Piusa"
"ES0000143","ES",0.0228008420082513,6760.19,2.7577708807087,1.55251700252295,0.27,1.04402352176607,3.17520267024636,1.10208963945508,5.58074127908796,2.25,5.72313710868359,1.06505257487297,3.3247131729126,3.24,9.5102204871329,17.2960289424564,1.92896162496647,9.24639429986011,8.15596513548866,5.21335431136424,4.09543954817578,8.83168679830582,39.459639996478,1.37691316142067,17.9381719798548,2021,39.459639996478,"Marismas de Santoña, Victoria y Joyel y Ría de Ajo"
"ES1110004","ES",0.0451007200432607,528.56,0.45525789745152,0.19226575255394,0,0.101262586999219,0,1.9417061121203e-05,0.474466602355242,0,0.523849426188535,0,9.00509959246963,0.09,0.12637601422146,1.05660041333176,0.414338635057211,0.25013716366142,3.07953330131248,0.395448398385197,0.322994989156723,2.69742096590577,1.53900167182088,1.19482317350339,1.91954058463036,2011,9.00509959246963,"Encoro de Abegondo - Cecebre"
"ES1110008","ES",0.047349558740174,4673.85,20.3211372470856,1.08,0,0.36840044260025,0.00349775210022926,14.8584731446542,1.24917632639408,3.01805917823687,18.6853698148392,8.94466281507164,2.16,1.92044085547328,8.40658830335364,6.77663345126901,0.883890122873454,5.64231892906129,14.4421450473368,7.88847464561462,13.4113956767321,26.1103032884294,32.1090548811525,16.3141101365499,16.7106030589342,2021,32.1090548811525,"Carnota - Monte Pindo"
